part_id,subsystem,name,function,visibility(visible|partial|hidden),evidence_class,status,material_hypothesis,notes
PRT-CASE-001,CASE,Carrura + fundo monobloco,"Alojar o movimento, dar rigidez e garantir 1 atm",visible,A,confirmed,titanio grau 5 (publicado),"51,00 x 39,00 x 1,75 mm publicados. Parede minima 0,18 mm em pontos nao especificados (Q-CASE-001). IMG-0004, IMG-0010, IMG-0034."
PRT-CASE-002,CASE,Luneta (bezel),"Fechar a face superior; carregar as 4 aberturas (2 cristais, 2 comandos) e as gravacoes W/H",visible,A,confirmed,titanio grau 5,"Acetinada com biseis polidos. IMG-0004, IMG-0006, IMG-0009."
PRT-CASE-003,CASE,Junta perimetral,Vedacao entre luneta e carrura,partial,B,provisional,elastomero (hipotese),"Visivel como aro separado na explodida IMG-0004. Material nao publicado."
PRT-CASE-004,CASE,Inserto de ceramica preta (x2),"Proteger a luneta do atrito das coroas e assegurar a estanqueidade",visible,A,confirmed,ceramica (publicado),"Duas instancias, uma por comando. CLM-0020. Aro fino de ceramica no lugar de borracha (CLM-0426)."
PRT-CASE-005,CASE,Nervura periferica de espessura integral,Dar rigidez a borda da caixa,hidden,D,provisional,titanio grau 5,"Descrita por SRC-0403 (Chronos JP); nenhuma imagem publica mostra a secao. Q-CASE-005."
PRT-CASE-006,CASE,Cilindro roscado central caixa-movimento,"Receber um dos parafusos de caixa e travar caixa + movimento como corpo unico, impedindo flexao central",hidden,B,provisional,titanio grau 5,"CLM-0429 (Hodinkee). Posicao aproximada: junto ao canto superior direito do barrilete. Exige furo passante na platina (Q-CASE-004)."
PRT-CASE-007,CASE,Rebaixo interno da face inferior (feature),Receber barrilete e trem rebaixando o empilhamento,hidden,B,provisional,-,"Existencia observada (CLM-0428); profundidade NAO observada. O 'talvez 0,05 mm' da fonte e chute declarado e nao entra no Z-budget (Q-CASE-003)."
PRT-CRY-001,CRY,Cristal das horas,"Fechar a abertura da indicacao; possivelmente participar da rigidez da caixa",visible,A,contested,"safira 1800 Vickers, AR nos dois lados (publicado)","Espessura 0,45 mm na ficha tecnica x 0,20 mm na narrativa do mesmo comunicado (Q-CRY-001). H-CASE-101 propoe funcao estrutural."
PRT-CRY-002,CRY,Cristal do balanco,Fechar a abertura sobre o orgao regulador,visible,A,confirmed,safira 1800 Vickers,"0,20 mm no centro e 0,30 mm nas bordas: superficie NAO plana. Forma e diametro nao publicados (Q-CRY-002)."
PRT-BASE-001,BASE,Platina esqueletada,"Suportar todos os centros de rotacao, os recortes das coroas, o entalhe de banking e a abertura do barrilete",visible,A,confirmed,"titanio grau 5, liga 90/6/4 (publicado)","41,45 x 28,85 mm. Espessura propria NAO publicada (Q-BASE-003). Vista NUA em IMG-0026 - a imagem mais valiosa do corpus. Retificada a mao e jateada a umido."
