frame_id,video_id,timestamp_s,timecode,arquivo,tipo_extracao,legenda_no_quadro,conteudo,subsistemas,utilidade,notas
IMG-VID0001-K012_48,VID-0001,12.48,00:00:12.48,research/images/frames/VID-0001-key/IMG-VID0001-K012_48.png,"quadro-chave (mais nítido de 12,0-15,0 s)",the RM UP-01 once again goes beyond what should be possible,render CG do calibre girando em plano,BASE;BRG;BAR;TRN;ESC;OSC,media,"Mesma família de render de IMG-0001; a pose muda ao longo de 11-16 s, o que permite pseudo-multivista de um render (não do objeto)."
IMG-VID0001-K020_40,VID-0001,20.4,00:00:20.40,research/images/frames/VID-0001-key/IMG-VID0001-K020_40.png,"quadro-chave (17,0-20,5 s)",At just 1.75 millimetres thick,perfil rasante do relógio,CASE;CRY;STR,baixa,Ver IMG-0033.
IMG-VID0001-K025_42,VID-0001,25.42,00:00:25.42,research/images/frames/VID-0001-key/IMG-VID0001-K025_42.png,"quadro-chave (22,5-25,5 s)",the RM UP-01 Ferrari constitutes a triumph of technical prowess,PLATINA NUA no suporte de montagem; vista quase nadir,BASE;WND;SEL;TRN;JWL;FST,maxima,Peça oculta revelada: a platina sem pontes. Ver IMG-0026.
IMG-VID0001-K030_50,VID-0001,30.5,00:00:30.50,research/images/frames/VID-0001-key/IMG-VID0001-K030_50.png,"quadro-chave (29,5-32,5 s)","more than ever, dictates esthetics",platina com pontes em vista oblíqua rasante,BASE;BRG,media,Rasante demais para métrica; boa para topologia das pontes.
IMG-VID0001-K039_46,VID-0001,39.46,00:00:39.46,research/images/frames/VID-0001-key/IMG-VID0001-K039_46.png,"quadro-chave (36,5-39,5 s)",the baseplate and skeletonised bridges are crafted of grade 5 titanium,ponte esqueletada de 3 braços em pinça,BRG;JWL;FST,alta,Ver IMG-0028. Segunda vista da ponte de IMG-0003.
IMG-VID0001-K046_66,VID-0001,46.66,00:00:46.66,research/images/frames/VID-0001-key/IMG-VID0001-K046_66.png,"quadro-chave (46,5-48,5 s)",we have patented an ultra-flat escapement,"platina/ponte em plano, segurada por haste",BASE;BRG;ESC,alta,Sequência em que o filme associa a imagem ao escape patenteado; conferir se a peça mostrada é mesmo a do escape (Q-IMG-006).
IMG-VID0001-K052_74,VID-0001,52.74,00:00:52.74,research/images/frames/VID-0001-key/IMG-VID0001-K052_74.png,"quadro-chave (51,5-53,5 s)",with a variable-inertia balance in titanium,macro da região balanço/barrilete,OSC;ESC;BAR;BRG;SHK,alta,Ver IMG-0029. Dentado do barrilete parcialmente resolvido.
IMG-VID0001-K055_56,VID-0001,55.56,00:00:55.56,research/images/frames/VID-0001-key/IMG-VID0001-K055_56.png,"quadro-chave (54,0-57,5 s)",an extra-flat barrel fitted with an extraordinarily fine hairspring,movimento montado em vista oblíqua rasante; balanço em primeiro plano,OSC;BAR;BRG,media,"Rasante; boa para a altura relativa balanço x pontes. Atenção: a legenda inglesa diz 'hairspring', mas a versão francesa do comunicado fala em mola de BARRILETE (ver CLM-0039 / SRC-0008)."
IMG-VID0001-K058_88,VID-0001,58.88,00:00:58.88,research/images/frames/VID-0001-key/IMG-VID0001-K058_88.png,"quadro-chave (58,0-60,5 s)",and have transferred the hands directly to the wheels,PONTEIRO visto de perfil sobre pinça,IND,alta,"Peça oculta revelada: a lâmina do ponteiro, de perfil. Ver IMG-0030."
IMG-VID0001-K068_46,VID-0001,68.46,00:01:08.46,research/images/frames/VID-0001-key/IMG-VID0001-K068_46.png,"quadro-chave (65,5-68,5 s)",rather than a construction in which the caseback doubles as a baseplate,movimento montado DENTRO da caixa; vista quase nadir,BASE;BRG;BAR;TRN;ESC;OSC;IND;SEL;WND;CASE,maxima,Ver IMG-0027. Amarra movimento e caixa na mesma projeção.
IMG-VID0001-K080_48,VID-0001,80.48,00:01:20.48,research/images/frames/VID-0001-key/IMG-VID0001-K080_48.png,"quadro-chave (74,0-80,5 s)",in order to ensure total shock resistance under any circumstance,macro das rodas de indicação com ponteiros sendo montados,IND;TRN;JWL,alta,Ver IMG-0031. A sequência 71-88 s mostra a montagem dos dois ponteiros.
IMG-VID0001-K089_84,VID-0001,89.84,00:01:29.84,research/images/frames/VID-0001-key/IMG-VID0001-K089_84.png,"quadro-chave (89,0-93,5 s)","To deliver a watch this thin, we integrated two crowns into the case",render CG do relógio em plano com o movimento visível sob a luneta,CASE;CRY;IND;OSC;SEL;WND,alta,"Render, não foto: usar para layout, nunca para medida."
IMG-VID0001-K098_44,VID-0001,98.44,00:01:38.44,research/images/frames/VID-0001-key/IMG-VID0001-K098_44.png,"quadro-chave (94,0-98,5 s)",the other to set the selected function,macro do comando HOURS/WINDING,CASE;WND;SEL;FST,alta,Ver IMG-0032.
IMG-VID0001-K129_88,VID-0001,129.88,00:02:09.88,research/images/frames/VID-0001-key/IMG-VID0001-K129_88.png,"quadro-chave (127,0-130,5 s)",at only 1.18 millimeters thick,movimento sobre a pulseira em vista oblíqua,BASE;BRG;STR,media,"O filme associa o plano a 1,18 mm; a pose é oblíqua e não serve para medir espessura."
IMG-VID0001-K144_66,VID-0001,144.66,00:02:24.66,research/images/frames/VID-0001-key/IMG-VID0001-K144_66.png,"quadro-chave (143,5-145,5 s)","its tonneau shape, spline screws, skeletonised movement",fundo do relógio em plano,CASE;FST;WND;SEL;STR,alta,Ver IMG-0034.
IMG-VID0001-K147_62,VID-0001,147.62,00:02:27.62,research/images/frames/VID-0001-key/IMG-VID0001-K147_62.png,"quadro-chave (147,5-149,5 s)",and an incredible level of finishing,render CG do calibre em plano,BASE;BRG;BAR;TRN;ESC;OSC;SEL;WND,alta,Ver IMG-0035.
IMG-VID0001-K150_04,VID-0001,150.04,00:02:30.04,research/images/frames/VID-0001-key/IMG-VID0001-K150_04.png,"quadro-chave (150,0-154,5 s)",and an incredible level of finishing,render CG do relógio em plano sobre pulseira de tecido,CASE;CRY;IND;SEL;WND;FST;STR,media,Render final do filme.
