claim_id,subsystem,statement,evidence_class,source_ids,parameter_id,status,created_at,notes
CLM-0001,BASE,"O calibre RMUP-01 mede 41,45 mm de comprimento (""Movement dimensions: 41.45 x 28.85 mm"").",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_MOV_LENGTH,confirmed,2026-09-20,"Identico em en/fr/ja/es/zh e no comunicado. E a ancora de calibracao fotografica mais forte do projeto."
CLM-0002,BASE,"O calibre RMUP-01 mede 28,85 mm de largura.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_MOV_WIDTH,confirmed,2026-09-20,"A marca nao diz qual eixo do relogio corresponde a cada medida; a associacao 41,45 = eixo 3h-9h e inferencia a validar por imagem (Q-BASE-001)."
CLM-0003,BASE,"A espessura do calibre RMUP-01 e 1,18 mm (""Thickness: 1,18 mm"").",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_MOV_THICKNESS,confirmed,2026-09-20,"Teto absoluto do Z-budget do movimento."
CLM-0004,CASE,"O relogio completo tem 1,75 mm de espessura (""an ultra-flat watch just 1.75 millimetres thick"").",A,SRC-0001;SRC-0002;SRC-0006;SRC-0007,P_WATCH_THICKNESS,confirmed,2026-09-20,"Teto absoluto do Z-budget do relogio."
CLM-0005,BASE,"O RMUP-01 e um movimento ultraplano de corda manual com horas, minutos e seletor de funcao.",A,SRC-0001;SRC-0002;SRC-0006,,confirmed,2026-09-20,"Nao ha segundos. Define o escopo da indicacao (IND)."
CLM-0006,CASE,"Edicao limitada de 150 pecas.",A,SRC-0001;SRC-0006;SRC-0007,,confirmed,2026-09-20,
CLM-0007,BAR,"Reserva de marcha de cerca de 45 horas (+/- 10%).",A,SRC-0001;SRC-0002;SRC-0006;SRC-0007,P_PWR_RESERVE,confirmed,2026-09-20,"A tolerancia +/-10% (40,5 a 49,5 h) e publicada: usar como faixa, nao como ponto."
CLM-0008,JWL,"O calibre tem 23 rubis.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_JWL_COUNT,confirmed,2026-09-20,"A marca nao publica a distribuicao dos 23 rubis (Q-JWL-001)."
CLM-0009,OSC,"O balanco e de liga de titanio grau 5, com 3 bracos e 6 massas de regulagem.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0006,,confirmed,2026-09-20,"Balanco em titanio e um primeiro para a marca, segundo Arbona (CLM-0045)."
CLM-0010,OSC,"Momento de inercia do balanco: 3 mg.cm2.",A,SRC-0001;SRC-0002;SRC-0003;SRC-0004;SRC-0005;SRC-0006,P_OSC_INERTIA,confirmed,2026-09-20,"Restricao de propriedades de massa para a Fase 10; combinar com 4 Hz para estimar a rigidez da espiral."
