landmark_id,image_id,landmark,tipo,subsistema,por_que,prioridade
LMK-IMG0004-001,IMG-0004,Vértices do contorno externo da luneta (8 pontos de tangência do tonneau),contorno,CASE,"A luneta e o movimento aparecem no mesmo plano e na mesma escala nesta explodida; com 41,45 x 28,85 mm do calibre como escala, o contorno da luneta vira medida em vez de estimativa.",alta
LMK-IMG0004-002,IMG-0004,Centros das duas aberturas circulares dos comandos na luneta,centro de furo,SEL;WND,Fixa a posição angular e radial dos dois comandos no plano da caixa (CLM-0018/0019 hoje só têm 'entre 10h e 11h' e 'entre 7h e 8h').,alta
LMK-IMG0004-003,IMG-0004,Centro e borda da abertura do cristal das horas e da abertura do cristal do balanço,contorno de abertura,CRY;IND;OSC,"Dá diâmetro e posição dos dois cristais, hoje sem nenhuma dimensão publicada (Q-CRY-002).",alta
LMK-IMG0004-004,IMG-0004,Centros dos furos dos parafusos spline na luneta e no fundo,centro de furo,FST,Permite contar e posicionar os 13 parafusos (CLM-0027) e atacar Q-CASE-002 e Q-FST-001.,alta
LMK-IMG0004-005,IMG-0004,Contorno das duas rodas de comando fotografadas separadamente (entre a luneta e o fundo),contorno + dentado,WND;SEL,São as 'coroas' que substituem a tige de remontoir; aqui estão isoladas e no mesmo plano de escala.,alta
LMK-IMG0004-006,IMG-0004,Contorno externo do movimento (retângulo arredondado com o prolongamento à esquerda),contorno,BASE,"É a própria âncora de calibração: 41,45 x 28,85 mm (CLM-0001/0002). Também resolve Q-BASE-001 (qual eixo é qual).",máxima
LMK-IMG0026-001,IMG-0026,Centro da grande abertura circular do barrilete na platina,centro de furo,BAR,Na platina NUA o furo do barrilete está desobstruído: é o centro mecânico mais confiável de todo o corpus.,máxima
LMK-IMG0026-002,IMG-0026,Centro da roda de cliquet (ratchet) e da roda de coroa no prolongamento esquerdo,centro de eixo,WND,"Dois centros do caminho de corda, visíveis com as rodas já montadas sobre a platina.",máxima
LMK-IMG0026-003,IMG-0026,Centros dos furos de pivô rubinados do lado direito (região do trem/escape),centro de furo,TRN;ESC;JWL,São os centros que a Fase 5 precisa e que as pontes escondem em todas as outras imagens.,máxima
LMK-IMG0026-004,IMG-0026,"Contorno externo da platina, incluindo o recorte do prolongamento esquerdo",contorno,BASE,"Mesma âncora de 41,45 x 28,85 mm, agora sobre a peça isolada e num plano bem definido pelo suporte.",alta
LMK-IMG0026-005,IMG-0026,Bordas das duas hastes cilíndricas do suporte de montagem,referência de plano,-,As hastes são retas e paralelas de fábrica: servem como par de linhas para estimar os pontos de fuga e calibrar a homografia sem depender do próprio relógio.,alta
LMK-IMG0001-001,IMG-0001,Centro do barrilete (roda de coroa/tampa visível no meio do calibre),centro de eixo,BAR,"Confirma LMK-IMG0026-001 numa segunda projeção independente (CLAUDE.md §7, item 8).",alta
LMK-IMG0001-002,IMG-0001,Centro do balanço na ponte superior direita,centro de eixo,OSC,Fixa a posição do oscilador no plano do calibre.,alta
LMK-IMG0001-003,IMG-0001,Centros dos rubis visíveis (contáveis nesta vista),centro de furo,JWL,Primeiro passo concreto para Q-JWL-001 (distribuição dos 23 rubis).,alta
LMK-IMG0001-004,IMG-0001,Gravações 23 JEWELS / RMUP-01 / N001 / SWISS,marcação de superfície,BASE,"Marcas co-planares e de posição fixa: bons pontos de correspondência entre IMG-0001, IMG-0035 e os quadros de vídeo.",média
LMK-IMG0003-001,IMG-0003,Centros dos 3 rubis da ponte de 3 braços,centro de furo,BRG;JWL,Três centros na MESMA peça rígida: a distância entre eles é invariante e pode ser recuperada por duas vistas (IMG-0003 + IMG-0028).,alta
LMK-IMG0003-002,IMG-0003,Centros dos 2 furos de parafuso e do furo liso de pino da ponte,centro de furo,BRG;FST,Define a interface ponte-platina (IFC a criar na Fase 2).,alta
LMK-IMG0009-001,IMG-0009,Contorno externo da caixa na vista frontal quase ortográfica,contorno,CASE,"Par ortogonal com IMG-0011; com 51 x 39 mm (CLM-0035) como escala, fecha o envelope externo.",alta
LMK-IMG0011-001,IMG-0011,Silhueta superior e inferior da caixa no perfil de 3h,contorno,CASE;CRY,"Dá o perfil de curvatura e o ponto de espessura máxima (1,75 mm).",alta
LMK-IMG0012-001,IMG-0012,Silhueta da caixa em cada um dos 81 quadros do sprite 360,contorno,CASE;STR,"Rotação de eixo único e passo constante de ≈4,44°: é um conjunto de vistas já auto-consistente, o material ideal para o ajuste conjunto multivista que o CLAUDE.md §7 pede.",máxima
LMK-IMG0006-001,IMG-0006,Centro e raio externo das duas rodas de comando estriadas,centro + contorno,SEL;WND,"Macro de alta resolução do mesmo par de LMK-IMG0004-002, em escala muito maior: melhora a precisão do diâmetro.",alta
LMK-IMG0006-002,IMG-0006,Contorno do encaixe spline central de cada comando,contorno interno,WND;SEL;FST,Geometria da chave de acionamento; entra em Q-WND-001.,média
LMK-IMG0029-001,IMG-0029,Borda dentada do barrilete no trecho em foco,periodicidade angular,BAR;TRN,Entrada direta do método de contagem de dentes por periodicidade de borda (CLAUDE.md §7).,alta
LMK-IMG0005-001,IMG-0005,Borda dentada da roda grande esqueletada segurada na pinça,periodicidade angular,TRN,"Idem, para a maior roda do trem isolada. Mas a vista é rasante: exige correção de perspectiva antes da contagem (Q-IMG-005).",média
LMK-IMG0031-001,IMG-0031,Interface ponteiro-roda (diâmetro do assento do ponteiro sobre a roda),contorno,IND;TRN,Única evidência visual do acoplamento que substitui o canhão; entra em Q-IND-001/Q-IND-002.,alta
LMK-IMG0027-001,IMG-0027,"Folga visível entre a borda do movimento e a parede interna da caixa, nos quatro lados",distância de borda,BASE;CASE,"É o que falta para responder Q-BASE-002 (repartição dos 9,55 mm e 10,15 mm de folga) e fixar a origem do sistema de coordenadas.",máxima
