image_id,arquivo_local,url_origem,fonte,source_id,natureza,vista,subsistemas,ancoras_visiveis,resolucao_local,resolucao_maxima_publica,qualidade,distorcao_perspectiva,direitos,notas
IMG-0001,research/images/rm-oficial/EV05_2206_RM_UP_FRONT_UNDER_V02_FONDcalibre.jpg,https://media.richardmille.com/wp-content/uploads/2022/07/18110224/EV05_2206_RM_UP_FRONT_UNDER_V02_FONDcalibre.jpg,Richard Mille (media.richardmille.com),SRC-0700,render_CG_oficial,plano do calibre (lado pontes) levemente oblíquo,"BASE;BRG;BAR;TRN;ESC;OSC;SEL;WND;JWL;FST","comprimento e largura do calibre (41,45 x 28,85 mm); gravações 23 JEWELS / RMUP-01 / N001 / SWISS",2188x2500,2188x2500,alta,"leve; objeto inclinado ~10-15° em torno do eixo vertical e ~5° em torno do horizontal; sombra projetada indica luz de estúdio virtual",(c) Richard Mille; corpus privado de pesquisa; não republicar,"A imagem mais informativa do acervo para a arquitetura do movimento: barrilete central, ponte do balanço em cima à direita, ponte do trem embaixo à direita, corda/seletor no prolongamento à esquerda. NÃO é fotografia: sombreamento, ausência total de poeira/risco e nitidez uniforme indicam render. Ver Q-IMG-002 antes de usar para metrologia."
IMG-0002,research/images/rm-oficial/calibre-UP.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/15164232/calibre-UP.jpg,Richard Mille (media.richardmille.com),SRC-0701,fotografia_oficial,calibre em pinça de madeira; oblíqua ~30-40°,"BASE;BRG;BAR;TRN;ESC;OSC;JWL","contorno do calibre; gravação SWISS na borda inferior",2800x1825,2800x1825,alta,"forte: perspectiva oblíqua com profundidade de campo rasa; inutilizável sem homografia e sem dois planos identificados","(c) Richard Mille; corpus privado de pesquisa; não republicar","Confirma que o movimento é manuseado como corpo único e separável. Útil para topologia das pontes, não para medida."
IMG-0003,research/images/rm-oficial/baseplateup7.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/15164227/baseplateup7.jpg,Richard Mille (media.richardmille.com),SRC-0702,fotografia_oficial,ponte esqueletada de 3 braços em pinça; movimento desfocado ao fundo,"BRG;JWL;FST;BASE","3 rubis embutidos na ponte; 2 furos de parafuso; 1 furo liso (pino de centragem)",2126x2500,2126x2500,alta,"forte no objeto em foco (pinça inclina a peça); fundo fora de foco","(c) Richard Mille; corpus privado de pesquisa; não republicar","Única imagem do acervo que isola uma ponte. Três mancais rubinados numa só ponte = candidato forte a ponte do trem. Fundo mostra a platina montada no suporte, com barrilete à direita."
IMG-0004,research/images/rm-oficial/illup068.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/15173534/illup068.jpg,Richard Mille (media.richardmille.com),SRC-0703,fotografia_oficial,vista explodida em plano (top-down) de 4 conjuntos,"CASE;CRY;SEL;WND;FST;BASE;BRG;STR","luneta com aberturas dos 2 cristais e dos 2 comandos; junta perimetral; 2 rodas de comando (coroas); fundo/carrura monobloco; movimento",2500x1216,2500x1216,alta,"baixa: câmera aparentemente nadir; distorção radial residual de grande angular provável nas bordas","(c) Richard Mille; corpus privado de pesquisa; não republicar","A imagem mais importante para a Fase 4: dá luneta, junta, coroas, fundo e movimento no MESMO plano e na MESMA escala. Candidata número 1 a calibração por homografia usando 41,45 x 28,85 mm do movimento."
IMG-0005,research/images/rm-oficial/up025.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/15171628/up025.jpg,Richard Mille (media.richardmille.com),SRC-0704,fotografia_oficial,peças soltas na bancada; oblíqua rasante,"TRN;BAR;BRG;JWL;FST","roda grande dentada esqueletada (7 braços) segurada na pinça; roda menor de 6 braços; ponte com rubi; ~10 rubis/buchas soltos",2500x1667,2500x1667,média,"muito forte: ângulo rasante, foco seletivo; nenhuma medida confiável sem modelo de câmera","(c) Richard Mille; corpus privado de pesquisa; não republicar","Serve para CONTAGEM DE DENTES da roda grande (borda bem resolvida em parte do perímetro) e para inventário de rubis soltos. Ver Q-IMG-005."
IMG-0006,research/images/rm-oficial/RM-UP-01-FRONT-UNDER-A-BB.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/29182129/RM-UP-01-FRONT-UNDER-A-BB.jpg,Richard Mille (media.richardmille.com),SRC-0705,render_CG_oficial,macro do lado esquerdo da luneta (frente),"CASE;SEL;WND;FST","gravações W>/H> SELECTOR e <HOURS / WINDING>; 2 comandos estriados com encaixe spline central; 5 parafusos spline visíveis; inserto perimetral",1972x2449,1972x2449,alta,"moderada: eixo de câmera oblíquo em torno do eixo vertical; curvatura da luneta visível","(c) Richard Mille; corpus privado de pesquisa; não republicar","Confirma por imagem CLM-0018/CLM-0019 (seletor entre 10h-11h, comando entre 7h-8h). Mostra que os dois comandos têm o MESMO desenho de roda estriada e o mesmo encaixe spline."
IMG-0007,research/images/rm-oficial/lilaV03A_EC02_RM_UP_PROFIL_8B_2021-12-14-18-21-29-CSmoothing1.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/29182309/lilaV03A_EC02_RM_UP_PROFIL_8B_2021-12-14-18-21-29-CSmoothing1.jpg,Richard Mille (media.richardmille.com),SRC-0706,render_CG_oficial,perfil puro (edge-on) do relógio no pulso implícito,"CASE;CRY;STR","espessura total 1,75 mm; empilhamento luneta/carrura visível como faixas; recortes da interface da pulseira na borda",2500x1136,2500x1136,média,"quase ortográfica no eixo de visada, mas o objeto é curvo: a silhueta é a envoltória, não uma seção","(c) Richard Mille; corpus privado de pesquisa; não republicar","Nome do arquivo ('CSmoothing1', data 2021-12-14 no nome) indica pipeline de render. Melhor imagem do acervo para o perfil de 1,75 mm, mas medir Z aqui exige tratar a curvatura (Q-IMG-004)."
IMG-0008,research/images/rm-oficial/boite155.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/15172354/boite155.jpg,Richard Mille (media.richardmille.com),SRC-0707,fotografia_oficial,relojoeiro com lupa segurando o movimento na pinça,"BASE;BRG;BAR",contorno do movimento contra o rosto (escala humana),2500x1666,2500x1666,média,"forte; documental","(c) Richard Mille; corpus privado de pesquisa; não republicar","Valor documental (escala, manuseio); nenhum valor métrico."
IMG-0009,research/images/rm-oficial/3DUP3PHWS.jpg,https://media.richardmille.com/wp-content/uploads/2022/07/10133015/3DUP3PHWS.jpg,Richard Mille (media.richardmille.com),SRC-0708,render_CG_oficial,frontal quase ortogonal (dial-up) com pulseira branca,"CASE;CRY;IND;SEL;WND;FST;OSC;STR","contorno completo da caixa (51 x 39 mm); 2 cristais; mostrador de horas com 12/3/6/9; abertura do balanço; 13(?) parafusos spline",1000x1300,1000x1300,média,"baixa: projeção quase ortográfica, típica de render técnico","(c) Richard Mille; corpus privado de pesquisa; não republicar","Melhor vista frontal para ortogonalização do contorno da caixa, mas resolução modesta (1000 px) e natureza CG. Usar junto com o sprite 360 (IMG-0012)."
IMG-0010,research/images/rm-oficial/3DUP3PHbackWS.jpg,https://media.richardmille.com/wp-content/uploads/2022/07/10133012/3DUP3PHbackWS.jpg,Richard Mille (media.richardmille.com),SRC-0709,render_CG_oficial,fundo quase ortogonal,"CASE;WND;SEL;FST;STR","gravações RICHARD MILLE / SWISS MADE / WATER RESISTANT / LIMITED EDITION RMUP-01 Ti 132/150; 2 comandos no fundo",1000x1300,1000x1300,média,baixa,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Mostra que os DOIS comandos atravessam também o fundo (ou aparecem nele): insumo para a geometria do eixo de comando. Numeração 132/150 registrada."
IMG-0011,research/images/rm-oficial/3DUP3PH3h.jpg,https://media.richardmille.com/wp-content/uploads/2022/07/10133010/3DUP3PH3h.jpg,Richard Mille (media.richardmille.com),SRC-0710,render_CG_oficial,perfil visto de 3h (edge-on no eixo curto),"CASE;STR","espessura 1,75 mm; raio de curvatura longitudinal da caixa",1000x1300,1000x1300,média,baixa,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Complementa IMG-0007: perfil no outro eixo. Par ortogonal 3DUP3PHWS + 3DUP3PH3h é a base mais barata para o envelope da caixa."
IMG-0012,research/images/rm-oficial/360_rmup-01_d01.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/22190705/360_rmup-01_d01.jpg,Richard Mille (visualizador 360 da página oficial),SRC-0711,render_CG_oficial,"sprite de 81 quadros de 800x800 cobrindo 360° (passo 360/81 = 4,44°)","CASE;CRY;IND;SEL;WND;FST;STR","quadro 00 = Top view; ~20 = Right view; 40 = Back view; ~60 = Left view",64800x800,64800x800,média,"cada quadro tem projeção consistente; câmera fixa e objeto girando em torno do eixo vertical","(c) Richard Mille; corpus privado de pesquisa; não republicar","Achado mais valioso deste pacote para a Fase 4: 81 vistas calibradas entre si de um mesmo objeto, ideal para ajuste conjunto multivista e para verificação de silhueta. Fatiado (reprodutível) em research/images/frames/360-d01/."
IMG-0013,research/images/rm-oficial/360_rmup-01_n01.jpg,https://media.richardmille.com/wp-content/uploads/2022/06/22190712/360_rmup-01_n01.jpg,Richard Mille (visualizador 360 da página oficial),SRC-0712,render_CG_oficial,sprite 360 idem em iluminação escura (botão 'lua' do visualizador),"CASE;CRY;IND;SEL;WND;FST;STR",idem IMG-0012,64800x800,64800x800,baixa,idem IMG-0012,"(c) Richard Mille; corpus privado de pesquisa; não republicar","Mesma geometria de IMG-0012 com outra iluminação: útil para separar geometria de realce especular (arestas que só aparecem numa das duas)."
IMG-0014,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0001.jpg,https://3dmodels.org/3d-models/richard-mille-rm-up-01-ferrari/ (ex-hum3d.com),Hum3D / 3DModels.org (modelo de terceiro),SRC-0713,render_CG_terceiro,3/4 frontal,"CASE;IND;SEL;WND;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,"render; marca d'água 'Hum3D TOOLS #1319' no canto superior esquerdo","(c) Hum3D/3DModels.org; modelo comercial de terceiro; NÃO é ativo Richard Mille","NÃO USAR COMO EVIDÊNCIA. É a interpretação de um modelador externo, não o objeto. Catalogado só para que ninguém no projeto o confunda com fotografia oficial (ver CLM-0700 e Q-IMG-001)."
IMG-0015,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0002.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 traseira,"CASE;FST;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,render,"(c) Hum3D/3DModels.org","NÃO USAR COMO EVIDÊNCIA."
IMG-0016,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0003.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 frontal em wireframe,"CASE;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,"wireframe do modelo de terceiro","(c) Hum3D/3DModels.org","Prova visual direta de que a série inteira é CG: a malha quadrangular do modelador está exposta."
IMG-0017,research/images/Richard_Mille_RM_UP_01_Ferrari_1000_0004.jpg,idem IMG-0014,Hum3D / 3DModels.org,SRC-0713,render_CG_terceiro,3/4 traseira em wireframe,"CASE;STR",nenhuma confiável,1000x1000,desconhecida,inútil para metrologia,wireframe,"(c) Hum3D/3DModels.org","Idem IMG-0016."
