patent_id,number,kind,family_id,title_original,language,priority_date,priority_number,filing_date,publication_date,applicant,inventors,legal_status,cpc,source_id,local_path,sha256,resumo_pt,ensina_sobre_topologia
PAT-CH716337A1,CH716337A1,A1 (pedido CH publicado),FAM-ESC-PAPI-2019,"Ensemble pour échappement à ancre de mouvement horloger",fr,2019-06-19,CH 832/2019,2019-06-19,2020-12-30,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi,"publicado; concessão CH (B1) não verificada",G04B15/08;G04B15/14,SRC-0200,research/patents/CH716337A1.pdf,d4c14302f6ff87026b4020f7935cac16ece89904478a953600c22b5486ac7f9f,"Depósito suíço de prioridade da família do escape sem dardo: âncora sem dard, plateau único com parede anti-renversement entalhada e cheville; as cornas da forquilha assumem a função de segurança.","Documento de prioridade; mesma topologia do EP/US. Traz o relatório de busca suíço (CH2209/1890, CH44855/1909, CH567293, CH699273, DE867671, JP2002-228767, US2010/208555)."
PAT-EP3754433A1,EP3754433A1,A1 (pedido EP),FAM-ESC-PAPI-2019,"Ensemble pour échappement à ancre de mouvement horloger",fr,2019-06-19,CH 832/2019,2020-06-18,2020-12-23,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi,"substituído pela concessão EP3754433B1 (27/05/2026)",G04B15/08;G04B15/14,SRC-0201,research/patents/EP3754433A1.pdf,889f3fcabcab6366dd06ab6937224eee4b0f1619ed40a90aafc5562185989012,"Pedido europeu da família do escape sem dardo, publicado 23/12/2020.","Mesmo conteúdo técnico do B1; 16 páginas com as figuras 1a-5."
PAT-EP3754433B1,EP3754433B1,B1 (patente EP concedida),FAM-ESC-PAPI-2019,"Ensemble pour échappement à ancre de mouvement horloger",fr,2019-06-19,CH 832/2019,2020-06-18,2026-05-27,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi,"concedida (menção 27/05/2026, Bulletin 2026/22); prazo de oposição de 9 meses em curso; 38 estados designados",G04B15/08;G04B15/14,SRC-0202,research/patents/EP3754433B1.pdf,16b26999be800f58ca2c0d3cd10aa6d01811ac9f9d486379dc69c5080bf86643,"Versão concedida com 11 reivindicações: conjunto ancora sem dard + plateau + cheville; cornas entram no entalhe somente quando a cheville está ao menos parcialmente na entrada da forquilha.","Reivindicações 7 e 8 dão relações de arquitetura: distância ancora-plateau >= 2x distância ancora-roda de escape; eixos da roda de escape, ancora e plateau coplanares (ambas opcionais, modo preferido)."
PAT-US11550262B2,US11550262B2,B2 (patente US concedida),FAM-ESC-PAPI-2019,"Lever escapement assembly for a timepiece movement",en,2019-06-19,CH 832/2019,2020-06-19,2023-01-10,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi,"concedida 10/01/2023; ajuste de prazo 319 dias; expiração estimada 2041 (estimativa do Google Patents, não verificada em fonte oficial)",G04B15/08;G04B15/14,SRC-0203,research/patents/US11550262.pdf,5826216ab694140d5eeb895812c237b5edfb0da5aa90491f075d6279438df9ac,"Membro norte-americano, em inglês, com descrição completa e 17 reivindicações; é o texto de trabalho do projeto por ser o mais legível.","Descreve o ciclo completo (figs. 3a-3n), a situação de rebat (figs. 4a-4c), a condição geométrica das cornas e o alongamento do balanço >360°+beta."
PAT-HK40033669A,HK40033669A,A (pedido HK),FAM-ESC-PAPI-2019,"Assembly for anchor escapement of timepiece movement",en,2019-06-19,CH 832/2019,,2021-04-16,爱彼制表公司 (Audemars Piguet),Giulio Papi,"publicado em Hong Kong 16/04/2021; situação posterior não verificada",G04B15/08;G04B15/14,SRC-0204,research/patents/HK40033669A.pdf,c1dd169c725cde5404497c72a847983031423a0d723ab64974026b74fe55737d,"Membro de Hong Kong da mesma família.","Nada novo além do EP; serve para mapear a cobertura territorial."
PAT-JP7537920B2,JP7537920B2,B2 (concedida JP),FAM-ESC-PAPI-2019,"(título japonês não verificado)",ja,2019-06-19,CH 832/2019,,2024-08-21,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi,"concedida 21/08/2024 (segundo listagem de família do Google Patents; não verificada no J-PlatPat)",G04B15/08;G04B15/14,SRC-0205,,,"Membro japonês da família, apenas registrado; PDF não baixado.","Cobertura territorial."
PAT-CN112114508B,CN112114508B,B (concedida CN),FAM-ESC-PAPI-2019,"(título chinês não verificado)",zh,2019-06-19,CH 832/2019,,2023-07-25,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi,"concedida 25/07/2023 (segundo listagem de família do Google Patents; não verificada no CNIPA)",G04B15/08;G04B15/14,SRC-0206,,,"Membro chinês da família, apenas registrado; PDF não baixado.","Cobertura territorial."
PAT-EP4295198B1,EP4295198B1,B1 (patente EP concedida),FAM-CMD-PAPI-2021,"Organe de commande de plusieurs fonctions d'un mouvement horloger",fr,2021-02-16,CH 150/2021,2022-01-18,2026-02-18,Manufacture d'Horlogerie Audemars Piguet SA,Giulio Papi; José-Manuel Fernandez,"concedida (menção 18/02/2026, Bulletin 2026/08); pedido A1 publicado 27/12/2023; PCT/EP2022/051007, WO 2022/175002",G04B3/046;G04B3/048;G04B27/004;G04B27/06;G04B27/04;G04B37/106,SRC-0208,research/patents/EP4295198B1.pdf,86b46764915eca221a1b7073d5f10c3b66758b26c6d9f8c34053575b4bf319a1,"Órgão único de comando que aciona funções diferentes: rotação da coroa aciona a primeira função (podendo ser uma função de seleção com 2 ou 3 posições angulares estáveis) e pressão axial aciona a segunda; dispositivo de segurança por encoche na saia da coroa + goupille impede rotação com a coroa premida e translação fora da posição angular estável.","Família de comando/seleção de funções da mesma equipe (Papi) e com prioridade compatível com o desenvolvimento do RM UP-01. O exemplo desenvolvido é de cronógrafo (start/stop + remise à zéro), NÃO o seletor W/H do RMUP-01: a ligação com o UP-01 é hipótese (Q-SEL-002)."
PAT-CH718513A1,CH718513A1,A1 (pedido CH publicado),FAM-CMD-PAPI-2021?,"Device for selecting and actuating several functions of a watch movement",en/fr,,,,,Manufacture d'Horlogerie Audemars Piguet SA (a confirmar),a confirmar,"não verificado (Google Patents bloqueou o acesso durante o pacote)",,SRC-0209,,,"Pedido suíço localizado por busca, de título muito próximo ao tema seleção/acionamento de várias funções; dados bibliográficos NÃO conferidos.","Candidato relevante para o seletor W/H; verificar antes de qualquer uso (Q-SEL-003)."
PAT-USD991795S1,USD991795S1,S (desenho industrial US),FAM-DES-UP01-2021,"Watch",en,2021-10-28,"Registro internacional Haia DM/218823 (28/10/2021, publicado 29/04/2022)",2021-10-28,2023-07-11,Turlen Holding SA (Les Breuleux CH),Richard Mille,"concedido 11/07/2023; prazo de 15 anos",LOC(14) 10-02; USPC D10/39; G04B37/00; G04B19/00 (busca),SRC-0210,research/patents/USD991795.pdf,0a20548318d841d33e940f6142f42823943eb29efe12f6e3cbeb35aab003445a,"Registro de desenho do relógio ultraplano da Richard Mille: 10 pranchas com vistas 1.1 frente, 1.2 verso, 1.3 direita, 1.4 esquerda, 1.5 inferior, 1.6 superior e 1.7-1.10 perspectivas. O examinador citou o artigo do Hodinkee sobre o RM UP-01 como arte relacionada.","Melhor fonte ortográfica pública encontrada para o contorno da caixa, posição dos dois comandos circulares moleteados, da indicação de horas/minutos e da abertura do balanço, além do perfil de espessura em vista lateral. ATENÇÃO: desenho de registro de desenho industrial também NÃO é desenho em escala; serve para proporção relativa, nunca para dimensão absoluta sem calibração independente."
