evidence_id,claim_id,parameter_id,part_id,source_id,evidence_class,method,nominal_value,unit,lower_bound,upper_bound,confidence_notes,status,created_at,updated_at
EVD-0001,CLM-0004,P_WATCH_THICKNESS,,SRC-0001,A,ficha_tecnica_fabricante,1.75,mm,,,"Repetido em en/fr e no comunicado e na Ferrari; nenhuma fonte primaria discorda.",confirmed,2026-09-20,2026-09-20
EVD-0002,CLM-0001,P_MOV_LENGTH,,SRC-0001,A,ficha_tecnica_fabricante,41.45,mm,,,"Cinco idiomas com o mesmo numero. Eixo correspondente nao publicado.",confirmed,2026-09-20,2026-09-20
EVD-0003,CLM-0002,P_MOV_WIDTH,,SRC-0001,A,ficha_tecnica_fabricante,28.85,mm,,,"Cinco idiomas.",confirmed,2026-09-20,2026-09-20
EVD-0004,CLM-0003,P_MOV_THICKNESS,,SRC-0001,A,ficha_tecnica_fabricante,1.18,mm,,,"Cinco idiomas; tambem citado por Arbona em entrevista.",confirmed,2026-09-20,2026-09-20
EVD-0005,CLM-0012,P_OSC_FREQUENCY,,SRC-0001,A,ficha_tecnica_fabricante,4,Hz,,,"28 800 A/h.",confirmed,2026-09-20,2026-09-20
EVD-0006,CLM-0010,P_OSC_INERTIA,PRT-OSC-001,SRC-0001,A,ficha_tecnica_fabricante,3,mg·cm²,,,"Um algarismo significativo; sem incerteza publicada.",confirmed,2026-09-20,2026-09-20
EVD-0007,CLM-0011,P_ESC_LIFT_ANGLE,,SRC-0001,A,ficha_tecnica_fabricante,54,deg,,,"Restricao dura para a geometria de impulso.",confirmed,2026-09-20,2026-09-20
EVD-0008,CLM-0023,P_BAR_TURN_PERIOD,PRT-BAR-001,SRC-0001,A,ficha_tecnica_fabricante,6,h,,,"Texto diz 6 h em vez de 7,5 h; valor exato, nao aproximado.",confirmed,2026-09-20,2026-09-20
EVD-0009,CLM-0007,P_PWR_RESERVE,,SRC-0001,A,ficha_tecnica_fabricante,45,h,40.5,49.5,"Tolerancia +/-10% publicada pelo proprio fabricante.",confirmed,2026-09-20,2026-09-20
EVD-0010,CLM-0008,P_JWL_COUNT,,SRC-0001,A,ficha_tecnica_fabricante,23,un,,,"Distribuicao nao publicada.",confirmed,2026-09-20,2026-09-20
EVD-0011,CLM-0029,P_CRY_HOURS_THICKNESS,PRT-CRY-001,SRC-0001,A,ficha_tecnica_fabricante,0.45,mm,,,"Contestado por CLM-0052 (2/10 mm na narrativa do comunicado). Ficha tecnica preferida por ser mais especifica e repetida em cinco idiomas.",contested,2026-09-20,2026-09-20
EVD-0012,CLM-0029,P_CRY_BALANCE_THICKNESS_CENTER,PRT-CRY-002,SRC-0001,A,ficha_tecnica_fabricante,0.20,mm,,,"Coincide com o 2/10 da narrativa.",confirmed,2026-09-20,2026-09-20
EVD-0013,CLM-0029,P_CRY_BALANCE_THICKNESS_EDGE,PRT-CRY-002,SRC-0001,A,ficha_tecnica_fabricante,0.30,mm,,,"Cristal do balanco mais espesso na borda: superficie nao plana, provavel lente/abaulamento.",confirmed,2026-09-20,2026-09-20
EVD-0014,CLM-0027,P_CASE_SCREW_COUNT,,SRC-0001,A,ficha_tecnica_fabricante,13,un,,,"Parafusos spline Ti Gr5 + arruelas 316L; funcao repartida entre caixa e pulseira (Q-FST-001).",confirmed,2026-09-20,2026-09-20
EVD-0015,CLM-0026,P_CASE_WATER_RESISTANCE,,SRC-0001,A,ficha_tecnica_fabricante,1,atm,,,"Equivalente a 10 m.",confirmed,2026-09-20,2026-09-20
EVD-0016,CLM-0024,P_TRN_PRESSURE_ANGLE,,SRC-0001,A,ficha_tecnica_fabricante,20,deg,,,"Declarado so para a dentacao do barrilete e o pinhao da terceira roda.",confirmed,2026-09-20,2026-09-20
EVD-0017,CLM-0035,P_CASE_LENGTH,PRT-CASE-001,SRC-0006,A,comunicado_oficial,51.00,mm,,,"Ausente da pagina do produto; presente no comunicado de 05/07/2022. Coerente com o tonneau alongado em 3h-9h.",confirmed,2026-09-20,2026-09-20
EVD-0018,CLM-0035,P_CASE_WIDTH,PRT-CASE-001,SRC-0006,A,comunicado_oficial,39.00,mm,,,"Idem.",confirmed,2026-09-20,2026-09-20
EVD-0019,CLM-0033,P_MOV_MASS,,SRC-0006,A,comunicado_oficial,2.82,g,,,"Confirmado independentemente por ferrari.com (SRC-0007). Restricao de massa global do movimento.",confirmed,2026-09-20,2026-09-20
